0–1,0.005088,"100,000",509,"99,549","8,181,661",81.8,,,,
1–2,0.000312,"99,491",31,"99,476","8,082,112",81.2,,,,
2–3,0.000186,"99,460",18,"99,451","7,982,637",80.3,,,,
3–4,0.000162,"99,442",16,"99,434","7,883,186",79.3,,,,
4–5,0.000107,"99,426",11,"99,420","7,783,752",78.3,,,,
5–6,0.000114,"99,415",11,"99,409","7,684,332",77.3,,,,
6–7,0.000106,"99,404",11,"99,398","7,584,922",76.3,,,,
7–8,0.000099,"99,393",10,"99,388","7,485,524",75.3,,,,
8–9,0.000090,"99,383",9,"99,379","7,386,136",74.3,,,,
9–10,0.000081,"99,374",8,"99,370","7,286,757",73.3,,,,
10–11,0.000076,"99,366",8,"99,362","7,187,387",72.3,,,,
11–12,0.000080,"99,359",8,"99,355","7,088,024",71.3,,,,
12–13,0.000103,"99,351",10,"99,346","6,988,670",70.3,,,,
13–14,0.000149,"99,341",15,"99,333","6,889,324",69.4,,,,
14–15,0.000213,"99,326",21,"99,315","6,789,991",68.4,,,,
15–16,0.000286,"99,305",28,"99,290","6,690,676",67.4,,,,
16–17,0.000361,"99,276",36,"99,258","6,591,385",66.4,,,,
17–18,0.000435,"99,240",43,"99,219","6,492,127",65.4,,,,
18–19,0.000503,"99,197",50,"99,172","6,392,908",64.4,,,,
19–20,0.000566,"99,147",56,"99,119","6,293,736",63.5,,,,
20–21,0.000629,"99,091",62,"99,060","6,194,617",62.5,,,,
21–22,0.000692,"99,029",68,"98,995","6,095,557",61.6,,,,
22–23,0.000745,"98,960",74,"98,923","5,996,562",60.6,,,,
23–24,0.000788,"98,887",78,"98,848","5,897,639",59.6,,,,
24–25,0.000822,"98,809",81,"98,768","5,798,791",58.7,,,,
25–26,0.000853,"98,727",84,"98,685","5,700,023",57.7,,,,
26–27,0.000882,"98,643",87,"98,600","5,601,338",56.8,,,,
27–28,0.000906,"98,556",89,"98,511","5,502,738",55.8,,,,
28–29,0.000923,"98,467",91,"98,421","5,404,227",54.9,,,,
29–30,0.000936,"98,376",92,"98,330","5,305,805",53.9,,,,
30–31,0.000946,"98,284",93,"98,237","5,207,475",53.0,,,,
31–32,0.000959,"98,191",94,"98,144","5,109,238",52.0,,,,
32–33,0.000979,"98,097",96,"98,049","5,011,094",51.1,,,,
33–34,0.001011,"98,001",99,"97,951","4,913,045",50.1,,,,
34–35,0.001050,"97,902",103,"97,850","4,815,094",49.2,,,,
35–36,0.001097,"97,799",107,"97,745","4,717,244",48.2,,,,
36–37,0.001144,"97,692",112,"97,636","4,619,499",47.3,,,,
37–38,0.001188,"97,580",116,"97,522","4,521,863",46.3,,,,
38–39,0.001227,"97,464",120,"97,404","4,424,341",45.4,,,,
39–40,0.001266,"97,344",123,"97,283","4,326,937",44.4,,,,
40–41,0.001309,"97,221",127,"97,157","4,229,655",43.5,,,,
41–42,0.001367,"97,094",133,"97,027","4,132,497",42.6,,,,
42–43,0.001448,"96,961",140,"96,891","4,035,470",41.6,,,,
43–44,0.001558,"96,821",151,"96,745","3,938,579",40.7,,,,
44–45,0.001694,"96,670",164,"96,588","3,841,834",39.7,,,,
45–46,0.001843,"96,506",178,"96,417","3,745,247",38.8,,,,
46–47,0.002004,"96,328",193,"96,232","3,648,830",37.9,,,,
47–48,0.002192,"96,135",211,"96,030","3,552,598",37.0,,,,
48–49,0.002414,"95,924",232,"95,808","3,456,569",36.0,,,,
49–50,0.002666,"95,693",255,"95,565","3,360,760",35.1,,,,
50–51,0.002947,"95,438",281,"95,297","3,265,195",34.2,,,,
51–52,0.003245,"95,156",309,"95,002","3,169,898",33.3,,,,
52–53,0.003546,"94,848",336,"94,679","3,074,896",32.4,,,,
53–54,0.003839,"94,511",363,"94,330","2,980,217",31.5,,,,
54–55,0.004133,"94,148",389,"93,954","2,885,887",30.7,,,,
55–56,0.004434,"93,759",416,"93,551","2,791,933",29.8,,,,
56–57,0.004767,"93,344",445,"93,121","2,698,382",28.9,,,,
57–58,0.005158,"92,899",479,"92,659","2,605,261",28.0,,,,
58–59,0.005628,"92,419",520,"92,159","2,512,602",27.2,,,,
59–60,0.006172,"91,899",567,"91,616","2,420,442",26.3,,,,
60–61,0.006785,"91,332",620,"91,022","2,328,827",25.5,,,,
61–62,0.007429,"90,712",674,"90,376","2,237,804",24.7,,,,
62–63,0.008057,"90,039",725,"89,676","2,147,429",23.9,,,,
63–64,0.008628,"89,313",771,"88,928","2,057,753",23.0,,,,
64–65,0.009164,"88,543",811,"88,137","1,968,825",22.2,,,,
65–66,0.009723,"87,731",853,"87,305","1,880,688",21.4,,,,
66–67,0.010364,"86,878",900,"86,428","1,793,384",20.6,,,,
67–68,0.011096,"85,978",954,"85,501","1,706,956",19.9,,,,
68–69,0.011955,"85,024","1,016","84,515","1,621,455",19.1,,,,
69–70,0.012947,"84,007","1,088","83,463","1,536,940",18.3,,,,
70–71,0.014059,"82,920","1,166","82,337","1,453,476",17.5,,,,
71–72,0.015290,"81,754","1,250","81,129","1,371,140",16.8,,,,
72–73,0.016675,"80,504","1,342","79,833","1,290,011",16.0,,,,
73–74,0.018233,"79,161","1,443","78,440","1,210,178",15.3,,,,
74–75,0.019990,"77,718","1,554","76,941","1,131,739",14.6,,,,
75–76,0.021952,"76,164","1,672","75,328","1,054,797",13.8,,,,
76–77,0.024206,"74,492","1,803","73,591","979,469",13.1,,,,
77–78,0.026847,"72,689","1,952","71,714","905,878",12.5,,,,
78–79,0.029863,"70,738","2,112","69,682","834,164",11.8,,,,
79–80,0.033182,"68,625","2,277","67,487","764,483",11.1,,,,
80–81,0.036963,"66,348","2,452","65,122","696,996",10.5,,,,
81–82,0.041047,"63,896","2,623","62,584","631,874",9.9,,,,
82–83,0.045819,"61,273","2,807","59,869","569,289",9.3,,,,
83–84,0.051689,"58,466","3,022","56,955","509,420",8.7,,,,
84–85,0.057707,"55,444","3,199","53,844","452,465",8.2,,,,
85–86,0.064217,"52,244","3,355","50,567","398,622",7.6,,,,
86–87,0.071074,"48,889","3,475","47,152","348,055",7.1,,,,
87–88,0.080180,"45,414","3,641","43,594","300,903",6.6,,,,
88–89,0.090255,"41,773","3,770","39,888","257,309",6.2,,,,
89–90,0.101352,"38,003","3,852","36,077","217,421",5.7,,,,
90–91,0.113511,"34,151","3,877","32,213","181,344",5.3,,,,
91–92,0.126761,"30,275","3,838","28,356","149,131",4.9,,,,
92–93,0.141114,"26,437","3,731","24,572","120,776",4.6,,,,
93–94,0.156560,"22,706","3,555","20,929","96,204",4.2,,,,
94–95,0.173066,"19,151","3,314","17,494","75,275",3.9,,,,
95–96,0.190573,"15,837","3,018","14,328","57,781",3.6,,,,
96–97,0.208996,"12,819","2,679","11,479","43,453",3.4,,,,
97–98,0.228221,"10,140","2,314","8,983","31,973",3.2,,,,
98–99,0.248109,"7,826","1,942","6,855","22,991",2.9,,,,
99–100,0.268499,"5,884","1,580","5,094","16,136",2.7,,,,
100,1.000000,"4,304","4,304","11,042","11,042",2.6,,,,