"Table 11. Life table for Hispanic males: United States, 2017",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
,qx,lx,dx,Lx,Tx,ex,,,,
0–1,0.005387,"100,000",539,"99,525","7,909,651",79.1,,,,
1–2,0.000317,"99,461",32,"99,445","7,810,126",78.5,,,,
2–3,0.000206,"99,430",20,"99,420","7,710,681",77.5,,,,
3–4,0.000193,"99,409",19,"99,400","7,611,261",76.6,,,,
4–5,0.000113,"99,390",11,"99,384","7,511,862",75.6,,,,
5–6,0.000122,"99,379",12,"99,373","7,412,477",74.6,,,,
6–7,0.000111,"99,367",11,"99,361","7,313,104",73.6,,,,
7–8,0.000102,"99,356",10,"99,351","7,213,743",72.6,,,,
8–9,0.000092,"99,346",9,"99,341","7,114,393",71.6,,,,
9–10,0.000082,"99,337",8,"99,332","7,015,051",70.6,,,,
10–11,0.000077,"99,328",8,"99,325","6,915,719",69.6,,,,
11–12,0.000085,"99,321",8,"99,317","6,816,394",68.6,,,,
12–13,0.000118,"99,312",12,"99,307","6,717,078",67.6,,,,
13–14,0.000181,"99,301",18,"99,292","6,617,771",66.6,,,,
14–15,0.000269,"99,283",27,"99,269","6,518,479",65.7,,,,
15–16,0.000369,"99,256",37,"99,238","6,419,210",64.7,,,,
16–17,0.000471,"99,219",47,"99,196","6,319,972",63.7,,,,
17–18,0.000578,"99,173",57,"99,144","6,220,776",62.7,,,,
18–19,0.000684,"99,115",68,"99,081","6,121,632",61.8,,,,
19–20,0.000786,"99,048",78,"99,009","6,022,551",60.8,,,,
20–21,0.000888,"98,970",88,"98,926","5,923,542",59.9,,,,
21–22,0.000987,"98,882",98,"98,833","5,824,616",58.9,,,,
22–23,0.001074,"98,784",106,"98,731","5,725,783",58.0,,,,
23–24,0.001145,"98,678",113,"98,622","5,627,052",57.0,,,,
24–25,0.001201,"98,565",118,"98,506","5,528,431",56.1,,,,
25–26,0.001254,"98,447",123,"98,385","5,429,925",55.2,,,,
26–27,0.001303,"98,323",128,"98,259","5,331,540",54.2,,,,
27–28,0.001334,"98,195",131,"98,130","5,233,281",53.3,,,,
28–29,0.001347,"98,064",132,"97,998","5,135,151",52.4,,,,
29–30,0.001346,"97,932",132,"97,866","5,037,153",51.4,,,,
30–31,0.001336,"97,800",131,"97,735","4,939,287",50.5,,,,
31–32,0.001331,"97,670",130,"97,605","4,841,552",49.6,,,,
32–33,0.001344,"97,540",131,"97,474","4,743,948",48.6,,,,
33–34,0.001384,"97,408",135,"97,341","4,646,474",47.7,,,,
34–35,0.001444,"97,274",140,"97,203","4,549,133",46.8,,,,
35–36,0.001515,"97,133",147,"97,060","4,451,929",45.8,,,,
36–37,0.001584,"96,986",154,"96,909","4,354,870",44.9,,,,
37–38,0.001646,"96,833",159,"96,753","4,257,960",44.0,,,,
38–39,0.001697,"96,673",164,"96,591","4,161,207",43.0,,,,
39–40,0.001744,"96,509",168,"96,425","4,064,616",42.1,,,,
40–41,0.001798,"96,341",173,"96,254","3,968,191",41.2,,,,
41–42,0.001871,"96,168",180,"96,078","3,871,937",40.3,,,,
42–43,0.001964,"95,988",189,"95,893","3,775,859",39.3,,,,
43–44,0.002081,"95,799",199,"95,699","3,679,966",38.4,,,,
44–45,0.002222,"95,600",212,"95,494","3,584,267",37.5,,,,
45–46,0.002373,"95,387",226,"95,274","3,488,773",36.6,,,,
46–47,0.002543,"95,161",242,"95,040","3,393,499",35.7,,,,
47–48,0.002763,"94,919",262,"94,788","3,298,459",34.8,,,,
48–49,0.003049,"94,657",289,"94,512","3,203,671",33.8,,,,
49–50,0.003393,"94,368",320,"94,208","3,109,159",32.9,,,,
50–51,0.003780,"94,048",356,"93,870","3,014,951",32.1,,,,
51–52,0.004184,"93,692",392,"93,496","2,921,081",31.2,,,,
52–53,0.004590,"93,300",428,"93,086","2,827,584",30.3,,,,
53–54,0.004979,"92,872",462,"92,641","2,734,498",29.4,,,,
54–55,0.005364,"92,410",496,"92,162","2,641,857",28.6,,,,
55–56,0.005761,"91,914",530,"91,649","2,549,695",27.7,,,,
56–57,0.006203,"91,384",567,"91,101","2,458,046",26.9,,,,
57–58,0.006711,"90,818",609,"90,513","2,366,945",26.1,,,,
58–59,0.007311,"90,208",660,"89,878","2,276,432",25.2,,,,
59–60,0.007999,"89,549",716,"89,190","2,186,554",24.4,,,,
60–61,0.008775,"88,832",779,"88,443","2,097,363",23.6,,,,
61–62,0.009595,"88,053",845,"87,630","2,008,921",22.8,,,,
62–63,0.010403,"87,208",907,"86,754","1,921,290",22.0,,,,
63–64,0.011144,"86,301",962,"85,820","1,834,536",21.3,,,,
64–65,0.011838,"85,339","1,010","84,834","1,748,716",20.5,,,,
65–66,0.012554,"84,329","1,059","83,800","1,663,882",19.7,,,,
66–67,0.013367,"83,270","1,113","82,714","1,580,082",19.0,,,,
67–68,0.014291,"82,157","1,174","81,570","1,497,369",18.2,,,,
68–69,0.015373,"80,983","1,245","80,361","1,415,799",17.5,,,,
69–70,0.016623,"79,738","1,325","79,075","1,335,438",16.7,,,,
70–71,0.018020,"78,413","1,413","77,706","1,256,363",16.0,,,,
71–72,0.019554,"77,000","1,506","76,247","1,178,657",15.3,,,,
72–73,0.021258,"75,494","1,605","74,692","1,102,410",14.6,,,,
73–74,0.023142,"73,889","1,710","73,034","1,027,719",13.9,,,,
74–75,0.025233,"72,179","1,821","71,268","954,685",13.2,,,,
75–76,0.027550,"70,358","1,938","69,389","883,416",12.6,,,,
76–77,0.030165,"68,419","2,064","67,388","814,027",11.9,,,,
77–78,0.033304,"66,356","2,210","65,251","746,640",11.3,,,,
78–79,0.036803,"64,146","2,361","62,965","681,389",10.6,,,,
79–80,0.040844,"61,785","2,524","60,523","618,424",10.0,,,,
80–81,0.045361,"59,261","2,688","57,917","557,901",9.4,,,,
81–82,0.050408,"56,573","2,852","55,147","499,983",8.8,,,,
82–83,0.056135,"53,722","3,016","52,214","444,836",8.3,,,,
83–84,0.062884,"50,706","3,189","49,112","392,622",7.7,,,,
84–85,0.070055,"47,517","3,329","45,853","343,510",7.2,,,,
85–86,0.078199,"44,188","3,456","42,461","297,658",6.7,,,,
86–87,0.086479,"40,733","3,523","38,972","255,197",6.3,,,,
87–88,0.097531,"37,210","3,629","35,396","216,225",5.8,,,,
88–89,0.109702,"33,581","3,684","31,739","180,829",5.4,,,,
89–90,0.123030,"29,897","3,678","28,058","149,090",5.0,,,,
90–91,0.137538,"26,219","3,606","24,416","121,032",4.6,,,,
91–92,0.153223,"22,613","3,465","20,881","96,616",4.3,,,,
92–93,0.170062,"19,148","3,256","17,520","75,735",4.0,,,,
93–94,0.187999,"15,892","2,988","14,398","58,215",3.7,,,,
94–95,0.206950,"12,904","2,671","11,569","43,817",3.4,,,,
95–96,0.226800,"10,234","2,321","9,073","32,248",3.2,,,,
96–97,0.247404,"7,913","1,958","6,934","23,175",2.9,,,,
97–98,0.268590,"5,955","1,599","5,155","16,241",2.7,,,,
98–99,0.290167,"4,356","1,264","3,724","11,086",2.5,,,,
99–100,0.311925,"3,092",964,"2,610","7,362",2.4,,,,
100 ,1.000000,"2,127","2,127","4,753","4,753",2.2,,,,
NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.,,,,,,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,,,,,
